empresa,nicho,cidade,telefone,email,site,google_maps_url
"Dr. Pedro Zulian - Especialista em Reabilitação Oral","dentista","Av. César Lattes, Lote 29 - Sala 2, Número 845 - Vila Novo Horizonte, Goiânia - GO, 74363-400","06232891100","pedrozulian@gmail.com","https://www.drpedrozulian.com/","https://www.google.com.br/maps/place/Dr.+Pedro+Zulian+-+Especialista+em+Reabilita%C3%A7%C3%A3o+Oral/data=!4m7!3m6!1s0x935ef714610007c9:0xf5d13458a9fc2007!8m2!3d-16.719842!4d-49.3208!16s%2Fg%2F11h3cbp_2n!19sChIJyQcAYRT3XpMRByD8qVg00fU?authuser=0&hl=pt-BR&rclk=1"
"Clínica Odontológica NEOPE","dentista","Empresarial Graham Bell - Av. Frei Matias Teves, 285 - Sala 911 - Ilha do Leite, Recife - PE, 50070-450","08133026390","neope@hotmail.com.br","https://clinicaneope.com.br/","https://www.google.com.br/maps/place/Cl%C3%ADnica+Odontol%C3%B3gica+NEOPE/data=!4m7!3m6!1s0x7ab18cf8a4be82b:0x76870d4455e3191e!8m2!3d-8.064008!4d-34.8964393!16s%2Fg%2F11bxj88769!19sChIJK-hLis8YqwcRHhnjVUQNh3Y?authuser=0&hl=pt-BR&rclk=1"
"Dr. Adriano Abreu","dentista","Av. Dom Luís, 1233 - Sala 1703 - Meireles, Fortaleza - CE, 60160-230","08534866130","falecom@odontologiaemfortaleza.com.br","https://www.odontologiaemfortaleza.com.br/","https://www.google.com.br/maps/place/Dr.+Adriano+Abreu/data=!4m7!3m6!1s0x7c7487e09b7db3b:0xcfc5584e852cf188!8m2!3d-3.7354964!4d-38.4899623!16s%2Fg%2F1v6l7q5r!19sChIJO9u3CX5IxwcRiPEshU5Yxc8?authuser=0&hl=pt-BR&rclk=1"
"Dr Leandro Dias, Dentista: ATM, Bruxismo, Implantes, DTM","dentista","R. Vicente Linhares, 521 - sala 2306 - Aldeota, Fortaleza - CE, 60135-270","085984303354","leandropontedias@gmail.com","https://drleandrodias.com.br/","https://www.google.com.br/maps/place/Dr+Leandro+Dias,+Dentista:+ATM,+Bruxismo,+Implantes,+DTM/data=!4m7!3m6!1s0x7c7489231fef9f3:0x61a70e05f0ddf9a8!8m2!3d-3.7421283!4d-38.4997747!16s%2Fg%2F1v3khqv9!19sChIJ8_n-MZJIxwcRqPnd8AUOp2E?authuser=0&hl=pt-BR&rclk=1"
"Psicóloga Patrícia Martinelli - Terapeuta Comportamental","psicólogo particular","Alameda Jaú, 1905 - Conjunto 32 - Jardim Paulista, São Paulo - SP, 01420-007","011971056730","psicologia@patriciamartinelli.com.br","https://patriciamartinelli.com.br/","https://www.google.com.br/maps/place/Psic%C3%B3loga+Patr%C3%ADcia+Martinelli+-+Terapeuta+Comportamental/data=!4m7!3m6!1s0x94ce599cebcbff83:0x2437aa3d7794eabb!8m2!3d-23.5578884!4d-46.6647015!16s%2Fg%2F11h07x32tw!19sChIJg__L65xZzpQRu-qUdz2qNyQ?authuser=0&hl=pt-BR&rclk=1"
"Tatiane Mosso","psicólogo particular","R. Ezequiel Freire, 192 - Sala 1006 - Santana, São Paulo - SP, 02034-000","011981066296","suporte@doctoralia.com.br","https://www.doctoralia.com.br/tatiane-mosso/psicologo/sao-paulo","https://www.google.com.br/maps/place/Tatiane+Mosso/data=!4m7!3m6!1s0x94cef7735ffa0b91:0x4b3c115dfec831cb!8m2!3d-23.5046299!4d-46.6233656!16s%2Fg%2F11gmg9mbk6!19sChIJkQv6X3P3zpQRyzHI_l0RPEs?authuser=0&hl=pt-BR&rclk=1"
"Canto Baobá Psicologia","psicólogo particular","R. Sílvia, 173 - Bela Vista, São Paulo - SP, 01331-010","011970617051","contato@cantobaoba.com.br","http://www.cantobaoba.com.br/","https://www.google.com.br/maps/place/Canto+Baob%C3%A1+Psicologia/data=!4m7!3m6!1s0x94ce5930cdffa763:0x53b43a6611c06513!8m2!3d-23.5599687!4d-46.6504303!16s%2Fg%2F11qpb8lr5x!19sChIJY6f_zTBZzpQRE2XAEWY6tFM?authuser=0&hl=pt-BR&rclk=1"
"Clara Fontes | Psicóloga e Psicanalista","psicólogo particular","R. Mena Barreto, 50 - Botafogo, Rio de Janeiro - RJ, 22271-100","","claramfontes@gmail.com","http://www.clarafontes.com.br/","https://www.google.com.br/maps/place/Clara+Fontes+%7C+Psic%C3%B3loga+e+Psicanalista/data=!4m7!3m6!1s0x997fe74ecc9e1d:0x5abaf693a07857ab!8m2!3d-22.954558!4d-43.187646!16s%2Fg%2F11h64r55l9!19sChIJHZ7MTud_mQARq1d4oJP2ulo?authuser=0&hl=pt-BR&rclk=1"
"Consultório Thomas Speroni","psicólogo particular","R. Alberto de Campos, 119 - casa 5 - Ipanema, Rio de Janeiro - RJ, 22411-030","021981327575","contato@thomas-speroni.com","https://www.thomas-speroni.com/","https://www.google.com.br/maps/place/Consult%C3%B3rio+Thomas+Speroni/data=!4m7!3m6!1s0x9bd57fbf696d19:0xd5de670588201b0b!8m2!3d-22.981333!4d-43.202172!16s%2Fg%2F11yd8f_s5q!19sChIJGW1pv3_VmwARCxsgiAVn3tU?authuser=0&hl=pt-BR&rclk=1"
"Vinicius Gama","psicólogo particular","R. da Assembléia, 93 - sala 1607 - Centro, Rio de Janeiro - RJ, 20011-001","021971142743","psicologoviniciusgama@gmail.com","https://clinicariad.my.canva.site/psicologoviniciusgama","https://www.google.com.br/maps/place/Vinicius+Gama/data=!4m7!3m6!1s0x997e6a37acd2e1:0x4bdf4e0315590b8c!8m2!3d-22.9057347!4d-43.1771!16s%2Fg%2F11c6f0dkjf!19sChIJ4dKsN2p-mQARjAtZFQNO30s?authuser=0&hl=pt-BR&rclk=1"
"Clínica de Psicologia Eurekka - Terapia Comportamental Contextual em Porto Alegre","psicólogo particular","R. Castro Alves, 678 - Rio Branco, Porto Alegre - RS, 90430-130","05130137741","terapia@eurekka.me","https://eurekka.me/terapia-gmb-poa/","https://www.google.com.br/maps/place/Cl%C3%ADnica+de+Psicologia+Eurekka+-+Terapia+Comportamental+Contextual+em+Porto+Alegre/data=!4m7!3m6!1s0x9519784995f53483:0x9528e504acccc3c8!8m2!3d-30.0309591!4d-51.203707!16s%2Fg%2F11dyzg47st!19sChIJgzT1lUl4GZURyMPMrATlKJU?authuser=0&hl=pt-BR&rclk=1"
"Valéria Noronha Psicóloga Comportamental","psicólogo particular","Av. Assis Brasil, 4550 - Sala1304 - Torre B - São Sebastião, Porto Alegre - RS, 91110-001","051982497718","valerianoronha.psico@gmail.com","https://www.psicologavaleria.com.br/","https://www.google.com.br/maps/place/Val%C3%A9ria+Noronha+Psic%C3%B3loga+Comportamental/data=!4m7!3m6!1s0x9519770a39e918d3:0xa7d2360e10862957!8m2!3d-30.0073287!4d-51.1420412!16s%2Fg%2F11fhr1_x5_!19sChIJ0xjpOQp3GZURVymGEA420qc?authuser=0&hl=pt-BR&rclk=1"
"Psicobreve - Psiquiatria e Psicologia","psicólogo particular","Rua Professor Annes Dias, 112 - 14º andar - Centro Histórico, Porto Alegre - RS, 90020-090","05132262225","atendimento@psicobreve.com.br","http://www.psicobreve.com.br/","https://www.google.com.br/maps/place/Psicobreve+-+Psiquiatria+e+Psicologia/data=!4m7!3m6!1s0x95197907b4743d77:0x597d3a51d9c78bb1!8m2!3d-30.0306106!4d-51.2236109!16s%2Fg%2F11h10zvxz!19sChIJdz10tAd5GZURsYvH2VE6fVk?authuser=0&hl=pt-BR&rclk=1"
"Psicóloga e Psicanalista em Porto Alegre | Luíza Cunha","psicólogo particular","Av. José Bonifácio, 519 - Farroupilha, Porto Alegre - RS, 90040-130","051982186121","suporte@doctoralia.com.br","https://www.doctoralia.com.br/luiza-pedroso-cunha/psicologo/porto-alegre","https://www.google.com.br/maps/place/Psic%C3%B3loga+e+Psicanalista+em+Porto+Alegre+%7C+Lu%C3%ADza+Cunha/data=!4m7!3m6!1s0x5ec652248070deb:0xb72bb19d5b37aa5c!8m2!3d-30.0377037!4d-51.2122088!16s%2Fg%2F11l2zlpdqy!19sChIJ6w0HSCJl7AURXKo3W52xK7c?authuser=0&hl=pt-BR&rclk=1"
"Núcleo de Psicologia Porto Alegrense","psicólogo particular","R. dos Andradas, 1656 - Sala 301 - Centro Histórico, Porto Alegre - RS, 90020-012","051999435678","nucleodepsicologiapoa@gmail.com","http://www.nucleodepsicologiapoa.com/","https://www.google.com.br/maps/place/N%C3%BAcleo+de+Psicologia+Porto+Alegrense/data=!4m7!3m6!1s0x95197981d088d805:0x93268f500315df08!8m2!3d-30.0296365!4d-51.2250452!16s%2Fg%2F11fhw5hrsq!19sChIJBdiI0IF5GZURCN8VA1CPJpM?authuser=0&hl=pt-BR&rclk=1"
"Clínica Brasília","psicólogo particular","SCN Quadra 2 Bloco D Shopping Liberty Mall Torre A, Sala 1205 12o andar - Asa Norte, Brasília - DF, 70712-903","061998855556","contato@cbrasilia.com.br","https://www.cbrasilia.com.br/","https://www.google.com.br/maps/place/Cl%C3%ADnica+Bras%C3%ADlia/data=!4m7!3m6!1s0x935a3ac079d9253f:0xe19a2d040bc0c539!8m2!3d-15.7871999!4d-47.8852842!16s%2Fg%2F11cmyz2fy8!19sChIJPyXZecA6WpMROcXACwQtmuE?authuser=0&hl=pt-BR&rclk=1"
"PSICÓLOGO CLÍNICO E NEUROPSICÓLOGO TIAGO D.L LEITÃO","psicólogo particular","Av. Mangalô, Qd, 23/A Lote, 06 - St. Morada do Sol, Goiânia - GO, 74000-000","062995537601","tiago7leitao94@gmail.com","https://psicologotiagoleitao.my.canva.site/","https://www.google.com.br/maps/place/PSIC%C3%93LOGO+CL%C3%8DNICO+E+NEUROPSIC%C3%93LOGO+TIAGO+D.L+LEIT%C3%83O/data=!4m7!3m6!1s0x935e8b91af68a19b:0x5c710cd01088a3eb!8m2!3d-16.6093688!4d-49.3181116!16s%2Fg%2F11t7zjslb4!19sChIJm6For5GLXpMR66OIENAMcVw?authuser=0&hl=pt-BR&rclk=1"
"Mundus Psi - Clínica de Psicologia e Psiquiatria","psicólogo particular","Ed. Pituba Espaço Empresarial - R. Maranhão, nº216 - sala 303 - Pituba, Salvador - BA, 41830-260","07132406568","atendimento@munduspsi.com.br","http://www.munduspsi.com.br/","https://www.google.com.br/maps/place/Mundus+Psi+-+Cl%C3%ADnica+de+Psicologia+e+Psiquiatria/data=!4m7!3m6!1s0x7161bdb050c4d03:0x8b0f3e8334cfd2bc!8m2!3d-13.0079581!4d-38.464471!16s%2Fg%2F11k2tj_pgl!19sChIJA00MBdsbFgcRvNLPNIM-D4s?authuser=0&hl=pt-BR&rclk=1"
"Clínica de Psicologia Vitta","psicólogo particular","R. Dr. José Peroba, 297 - Sala 1103 - STIEP, Salvador - BA, 41770-235","07130326562","psicologiavitta@gmail.com","http://www.vittapsicologia.com.br/","https://www.google.com.br/maps/place/Cl%C3%ADnica+de+Psicologia+Vitta/data=!4m7!3m6!1s0x7161b0f7a4e6097:0xd3c269827d22100a!8m2!3d-12.9846691!4d-38.4505053!16s%2Fg%2F11fxw7c3y4!19sChIJl2BOeg8bFgcRChAifYJpwtM?authuser=0&hl=pt-BR&rclk=1"
"Clinica Encontro","psicólogo particular","R. Machado de Assis, 27 - Brotas, Salvador - BA, 40285-280","07133564072","contato@clinicaencontro.com.br","https://www.clinicaencontro.com.br/","https://www.google.com.br/maps/place/Clinica+Encontro/data=!4m7!3m6!1s0x71604c9dd524e4d:0xd912bb6ee8a35fb3!8m2!3d-12.9856797!4d-38.4914949!16s%2Fg%2F1ttq299z!19sChIJTU5S3ckEFgcRs1-j6G67Etk?authuser=0&hl=pt-BR&rclk=1"
"Dr. Shalon Riker Lages | Psicólogo Em Salvador | Terapia e Psicoterapia Clínica | Presencial e On-line","psicólogo particular","CEO, Torre Londres - Av. Tancredo Neves, Salvador Shopping, 2539 - Sala 707 - Caminho das Árvores, Salvador - BA, 41820-021","071996228233","suporte@doctoralia.com.br","https://www.doctoralia.com.br/shalon-riker-lages/psicanalista-psicologo-terapeuta-complementar/salvador","https://www.google.com.br/maps/place/Dr.+Shalon+Riker+Lages+%7C+Psic%C3%B3logo+Em+Salvador+%7C+Terapia+e+Psicoterapia+Cl%C3%ADnica+%7C+Presencial+e+On-line/data=!4m7!3m6!1s0x7161b14c5140397:0x56e23329b8a91d71!8m2!3d-12.979938!4d-38.4520381!16s%2Fg%2F1q5bmp85v!19sChIJlwMUxRQbFgcRcR2puCkz4lY?authuser=0&hl=pt-BR&rclk=1"
"Psicóloga em Recife Luciana Sette | CRP: 02/10.234 | Psicoterapeuta de Casal | Relacionamentos | Presencial e On-line","psicólogo particular","Empresarial One Way - R. Guimarães Peixoto, 75 - sala 1705 - Casa Amarela, Recife - PE, 52051-305","081997568052","suporte@doctoralia.com.br","https://www.doctoralia.com.br/z/WazMkp","https://www.google.com.br/maps/place/Psic%C3%B3loga+em+Recife+Luciana+Sette+%7C+CRP:+02%2F10.234+%7C+Psicoterapeuta+de+Casal+%7C+Relacionamentos+%7C+Presencial+e+On-line/data=!4m7!3m6!1s0x7ab1909189bf157:0x7794d6c08370093f!8m2!3d-8.0291617!4d-34.9076523!16s%2Fg%2F11hdy70234!19sChIJV_GbGAkZqwcRPwlwg8DWlHc?authuser=0&hl=pt-BR&rclk=1"
"Clinica Mediar","psicólogo particular","Torre B - Av. República do Líbano, 251 - Sl 2301 - Pina, Recife - PE, 51110-160","08134658209","ouvidoria@clinicamediar.com","https://mediarclinica.com/","https://www.google.com.br/maps/place/Clinica+Mediar/data=!4m7!3m6!1s0x7ab1f4243fcc0a3:0xa8afac2cdd4b7210!8m2!3d-8.0868873!4d-34.8919964!16s%2Fg%2F11g19_2mrf!19sChIJo8D8Q0IfqwcREHJL3Sysr6g?authuser=0&hl=pt-BR&rclk=1"
"Dra. Isa Carvalho, Psicanalista","psicólogo particular","Praça de Casa Forte, 381/502 - Casa Forte, Recife - PE, 52061-420","081985980727","suporte@doctoralia.com.br","https://www.doctoralia.com.br/isa-carvalho-2/psicanalista-psicologo/recife?utm_source=google&utm_medium=gmb&utm_campaign=67142&utm_content=website","https://www.google.com.br/maps/place/Dra.+Isa+Carvalho,+Psicanalista/data=!4m7!3m6!1s0x7ab190826c78fc3:0xd8ff7da294941cf1!8m2!3d-8.0341048!4d-34.9185429!16s%2Fg%2F11c1xj4pz6!19sChIJw4_HJggZqwcR8RyUlKJ9_9g?authuser=0&hl=pt-BR&rclk=1"
"Psicóloga Marilia Almeida","psicólogo particular","R. José de Alencar, 44 - Boa Vista, Recife - PE, 50030-230","081985780872","psimariliaalmeida@gmail.com","https://psimariliaalmeida.github.io/psicologa/","https://www.google.com.br/maps/place/Psic%C3%B3loga+Marilia+Almeida/data=!4m7!3m6!1s0x7ab1997eebf83b5:0x65789b7e0cc62509!8m2!3d-8.0591977!4d-34.8878699!16s%2Fg%2F11ml2t439l!19sChIJtYO_7pcZqwcRCSXGDH6beGU?authuser=0&hl=pt-BR&rclk=1"
"Psicóloga Camila Marques I Psicólogo em Fortaleza","psicólogo particular","Scopa Platinum Corporate - R. Monsenhor Bruno, 1153 - sala 628 - Aldeota, Fortaleza - CE, 60115-191","085994057740","camilansmarquespsicologa@gmail.com","https://www.psicologacamilamarques.com.br/","https://www.google.com.br/maps/place/Psic%C3%B3loga+Camila+Marques+I+Psic%C3%B3logo+em+Fortaleza/data=!4m7!3m6!1s0x7c7498d4cbf9299:0x212d07c358c1e24d!8m2!3d-3.7332965!4d-38.5094682!16s%2Fg%2F11tn555bfm!19sChIJmZK_TI1JxwcRTeLBWMMHLSE?authuser=0&hl=pt-BR&rclk=1"
"Psicologo Fortaleza/Espaço Escuta Terapêutica (Consultório de psicologia)","psicólogo particular","Edifício Harmony Premium - Av. Humberto Monte, 2929 - 302b - Pici, Fortaleza - CE, 60440-593","085999277282","info@mysite.com","https://rebecassaraiva.wixsite.com/nica-de-sa","https://www.google.com.br/maps/place/Psicologo+Fortaleza%2FEspa%C3%A7o+Escuta+Terap%C3%AAutica+%28Consult%C3%B3rio+de+psicologia%29/data=!4m7!3m6!1s0x7c74b65d6da6ef7:0x9fe156e696224106!8m2!3d-3.7374098!4d-38.5694941!16s%2Fg%2F11p17jh68_!19sChIJ927a1mVLxwcRBkEiluZW4Z8?authuser=0&hl=pt-BR&rclk=1"
"Sulis Clínica de Psicologia","psicólogo particular","Av. Washington Soares, 3663 - Sala 1101 Torre 1 - Edson Queiroz, Fortaleza - CE, 60811-341","085982327193","atendimento@sulisclinicadepsicologia.com.br","https://sulisclinicadepsicologia.com.br/","https://www.google.com.br/maps/place/Sulis+Cl%C3%ADnica+de+Psicologia/data=!4m7!3m6!1s0x7c74940d5d15349:0x55f924e0f635e905!8m2!3d-3.7881216!4d-38.4799297!16s%2Fg%2F11sc899szp!19sChIJSVPR1UBJxwcRBek19uAk-VU?authuser=0&hl=pt-BR&rclk=1"
"Advocacia Borges/ Advogado Trabalhista de empregado/ Advocacia Trabalhista/ Melhor escritório de Advocacia Trabalhista","escritório de advocacia","Rua Quirino dos Santos, 72 - Barra Funda, São Paulo - SP, 01141-020","01133933030","infoborges@borges.adv.br","https://www.advocaciaborges.com.br/","https://www.google.com.br/maps/place/Advocacia+Borges%2F+Advogado+Trabalhista+de+empregado%2F+Advocacia+Trabalhista%2F+Melhor+escrit%C3%B3rio+de+Advocacia+Trabalhista/data=!4m7!3m6!1s0x94ce5806c0744df7:0x894b34dcd5fc70c5!8m2!3d-23.5241487!4d-46.6644029!16s%2Fg%2F1trtwfrf!19sChIJ9010wAZYzpQRxXD81dw0S4k?authuser=0&hl=pt-BR&rclk=1"
"Figueiredo Sociedade de Advogados","escritório de advocacia","Avenida Paulista, 1765, 7° andar, Conj. 72 CV 8908 - Bela Vista, São Paulo - SP, 01311-200","011947453744","contato@figueiredoadvogados.com.br","https://figueiredoadvogados.com.br/","https://www.google.com.br/maps/place/Figueiredo+Sociedade+de+Advogados/data=!4m7!3m6!1s0x94ce585293b0e67d:0x3581bbb062bf95e1!8m2!3d-23.5607636!4d-46.6578485!16s%2Fg%2F11clsn9vn_!19sChIJfeawk1JYzpQR4ZW_YrC7gTU?authuser=0&hl=pt-BR&rclk=1"
"Ortega e Ieiri Advogados","escritório de advocacia","R. Sete de Abril, 342 - 9º andar - República, São Paulo - SP, 01044-000","011946287767","atendimento@spadvogado.com.br","https://www.spadvogado.com.br/","https://www.google.com.br/maps/place/Ortega+e+Ieiri+Advogados/data=!4m7!3m6!1s0x94ce584e1929fe83:0x9dc9084130ee3da3!8m2!3d-23.5449243!4d-46.6417687!16s%2Fg%2F1vzg3c13!19sChIJg_4pGU5YzpQRoz3uMEEIyZ0?authuser=0&hl=pt-BR&rclk=1"
"Advocacia Sandoval Filho","escritório de advocacia","R. Maria Paula, 123 - Bela Vista, São Paulo - SP, 01319-001","01136389800","helvio@stradacomunicacao.com.br","https://www.sandovalfilho.com.br/","https://www.google.com.br/maps/place/Advocacia+Sandoval+Filho/data=!4m7!3m6!1s0x94ce59acf8c29a05:0x7fbbf15819c42b3a!8m2!3d-23.5522977!4d-46.6390526!16s%2Fg%2F11c0pzv6z_!19sChIJBZrC-KxZzpQROivEGVjxu38?authuser=0&hl=pt-BR&rclk=1"
"Battaglia & Pedrosa Advogados","escritório de advocacia","R. Funchal, 573 - Conjunto 51/52 - Vila Olímpia, São Paulo - SP, 04551-060","011995049829","saopaulo1@bpadvogados.com.br","https://bpadvogados.com.br/","https://www.google.com.br/maps/place/Battaglia+%26+Pedrosa+Advogados/data=!4m7!3m6!1s0x94ce573804640fbd:0x3d2309d9d42a3e26!8m2!3d-23.595745!4d-46.690284!16s%2Fg%2F11gzyv2bb!19sChIJvQ9kBDhXzpQRJj4q1NkJIz0?authuser=0&hl=pt-BR&rclk=1"
"⚖️ MG Advogados | RJ | Escritório de Advocacia | Rio de Janeiro | Criminalista, Violência Doméstica, Civil e Trabalhista","escritório de advocacia","Av. Pres. Wilson, 231 - 14º andar - Centro, Rio de Janeiro - RJ, 20030-021","021997439963","contato@mederogarcia.adv.br","https://mederogarcia.adv.br/","https://www.google.com.br/maps/place/%E2%9A%96%EF%B8%8F+MG+Advogados+%7C+RJ+%7C+Escrit%C3%B3rio+de+Advocacia+%7C+Rio+de+Janeiro+%7C+Criminalista,+Viol%C3%AAncia+Dom%C3%A9stica,+Civil+e+Trabalhista/data=!4m7!3m6!1s0x9981dfa97b3175:0xa524014c4a50aa00!8m2!3d-22.9102461!4d-43.1726467!16s%2Fg%2F11k64s_yk2!19sChIJdTF7qd-BmQARAKpQSkwBJKU?authuser=0&hl=pt-BR&rclk=1"
"Garcia Advogados","escritório de advocacia","R. da Quitanda, número 03 - Gr. 501 - Centro, Rio de Janeiro - RJ, 20011-030","021998116211","contato@advogadorj.com","http://www.advogadorj.com/","https://www.google.com.br/maps/place/Garcia+Advogados/data=!4m7!3m6!1s0x997f5f9675393b:0x19a4ba053216bc38!8m2!3d-22.9053926!4d-43.1760683!16s%2Fg%2F1tk8pth6!19sChIJOzl1ll9_mQAROLwWMgW6pBk?authuser=0&hl=pt-BR&rclk=1"
"Bacim Picorelli Advogados","escritório de advocacia","Av. Pres. Antônio Carlos, 615 - grupo 602 - Centro, Rio de Janeiro - RJ, 20020-010","021966755823","contato@bacimpicorelli.com.br","https://bacimpicorelli.com.br/","https://www.google.com.br/maps/place/Bacim+Picorelli+Advogados/data=!4m7!3m6!1s0x9bd50d7723dc41:0x26bd29928c70b3c4!8m2!3d-22.905674!4d-43.1739611!16s%2Fg%2F11l6ljdsv0!19sChIJQdwjdw3VmwARxLNwjJIpvSY?authuser=0&hl=pt-BR&rclk=1"
